Date,Clean_Solar_Generation,Trend_Seasonal_Component
12/17/2018,13.07183305,58.55633227
12/18/2018,8.843055537,61.03081007
12/19/2018,16.60138844,63.30054414
12/20/2018,4.768888695,65.35536227
12/21/2018,4.296833168,67.18604673
12/22/2018,24.76977733,68.78437163
12/23/2018,8.438944144,70.14313605
12/24/2018,4.424999832,71.25619293
12/25/2018,5.229666424,72.11847359
12/26/2018,1.002166607,72.72600779
12/27/2018,1.993166548,73.0759392
12/28/2018,23.84299939,73.16653633
12/29/2018,12.27788877,72.99719874
12/30/2018,3.514444395,72.56845872
12/31/2018,6.842333162,71.88197815
1/1/2019,13.55083306,70.94054089
1/2/2019,12.36083322,69.74804045
1/3/2019,16.32972197,68.30946318
1/4/2019,22.68599955,66.63086699
1/5/2019,6.354833197,64.7193557
1/6/2019,11.92983309,62.58304908
1/7/2019,24.47766617,60.2310489
1/8/2019,24.28583293,57.6734008
1/9/2019,8.829110804,54.92105248
1/10/2019,21.5083331,51.98580821
1/11/2019,25.09477721,48.88027985
1/12/2019,23.99872169,45.61783462
1/13/2019,19.24922197,42.21253988
1/14/2019,28.77133304,38.67910504
1/15/2019,5.449333087,35.03282095
1/16/2019,5.011499777,31.28949693
1/17/2019,1.035166605,27.46539581
1/18/2019,0.221666653,23.57716707
1/19/2019,0.886666614,19.64177856
1/20/2019,1.257666592,15.67644696
1/21/2019,1.394916584,11.69856723
1/22/2019,7.925999828,7.725641466
1/23/2019,4.134499845,3.775207319
1/24/2019,7.060555292,-0.135233622
1/25/2019,23.7924995,-3.988287283
1/26/2019,11.32488871,-7.766738042
1/27/2019,19.25633284,-11.4536189
1/28/2019,34.9732775,-15.03228057
1/29/2019,30.33911073,-18.48645926
1/30/2019,17.27541638,-21.80034278
1/31/2019,19.09622188,-24.95863484
2/1/2019,6.080833211,-27.94661717
2/2/2019,6.209333045,-30.75020922
2/3/2019,9.854666443,-33.35602534
2/4/2019,3.987333292,-35.75142898
2/5/2019,7.98616645,-37.92458393
2/6/2019,8.966416319,-39.86450218
2/7/2019,11.20605518,-41.56108844
2/8/2019,2.622833177,-43.00518094
2/9/2019,9.266499652,-44.18858843
2/10/2019,6.859055365,-45.10412328
2/11/2019,4.153499826,-45.7456305
2/12/2019,1.18099993,-46.10801258
2/13/2019,0.004833333,-46.18725
2/14/2019,0.821333284,-45.98041748
2/15/2019,0,-45.48569573
2/16/2019,0,-44.70237879
2/17/2019,0,-43.63087688
2/18/2019,0,-42.27271477
