Date,Daily Gas Generation,Trend + Seasonal Component
1/28/2020,136028.3986,135919.851
1/29/2020,130039.0259,135925.218
1/30/2020,129308.9763,135937.1925
1/31/2020,128616.6617,135955.6924
2/1/2020,127883.6271,135980.6009
2/2/2020,134922.0411,136011.7664
2/3/2020,139511.7109,136049.0036
2/4/2020,134509.3778,136092.0936
2/5/2020,130205.0734,136140.7851
2/6/2020,132640.3877,136194.7946
2/7/2020,136490.7013,136253.8077
2/8/2020,135740.5269,136317.4801
2/9/2020,132198.3267,136385.4385
2/10/2020,137032.6111,136457.2821
2/11/2020,134582.5494,136532.5836
2/12/2020,143170.3986,136610.8908
2/13/2020,136678.406,136691.7278
2/14/2020,138639.325,136774.597
2/15/2020,138541.083,136858.9801
2/16/2020,137836.6087,136944.3404
2/17/2020,140215.0445,137030.1242
2/18/2020,141470.9563,137115.7626
2/19/2020,134021.2307,137200.6734
2/20/2020,128346.342,137284.2631
2/21/2020,129235.0788,137365.9289
2/22/2020,130126.2634,137445.0602
2/23/2020,133148.7641,137521.0414
2/24/2020,139386.6853,137593.2531
2/25/2020,139439.6988,137661.0748
2/26/2020,136137.8754,137723.8864
2/27/2020,134806.5777,137781.0708
2/28/2020,134268.6341,137832.0155
2/29/2020,131439.3594,137876.1148
3/1/2020,131928.6845,137912.772
3/2/2020,129410.4123,137941.4011
3/3/2020,130925.2172,137961.4288
3/4/2020,131839.2118,137972.2966
3/5/2020,133342.0004,137973.4628
3/6/2020,134037.5033,137964.4038
3/7/2020,137805.4966,137944.6164
3/8/2020,141405.1571,137913.6195
3/9/2020,146117.1358,137870.9555
3/10/2020,135742.2655,137816.1918
3/11/2020,139552.0257,137748.9228
3/12/2020,145458.6433,137668.7711
3/13/2020,143407.7591,137575.3885
3/14/2020,145338.6935,137468.4579
3/15/2020,146681.7748,137347.694
3/16/2020,143909.3391,137212.8446
3/17/2020,141919.6326,137063.6912
3/18/2020,142270.5101,136900.0507
3/19/2020,142191.1062,136721.775
3/20/2020,140530.5206,136528.7529
3/21/2020,131209.966,136320.9095
3/22/2020,127978.1073,136098.2074
3/23/2020,130882.5585,135860.647
3/24/2020,136764.6746,135608.2661
3/25/2020,136873.2561,135341.1406
3/26/2020,128208.8098,135059.3842
3/27/2020,130896.6951,134763.1485
3/28/2020,133281.0439,134452.6223
3/29/2020,133332.9345,134128.0318
3/30/2020,136637.1833,133789.6396
3/31/2020,141299.3021,133437.7445
4/1/2020,143596.707,133072.6806
4/2/2020,143627.0385,132694.8166
4/3/2020,139316.3583,132304.5548
4/4/2020,136444.646,131902.3301
4/5/2020,133542.8486,131488.6091
4/6/2020,132728.0038,131063.8886
4/7/2020,125802.7079,130628.6944
4/8/2020,132433.9785,130183.58
4/9/2020,128123.6621,129729.1252
4/10/2020,125924.7965,129265.9343
4/11/2020,130581.3878,128794.6349
4/12/2020,133784.5542,128315.8757
4/13/2020,134605.3149,127830.3251
4/14/2020,129544.9019,127338.6696
4/15/2020,129225.1434,126841.6114
4/16/2020,130582.1472,126339.8669
4/17/2020,125306.769,125834.1647
4/18/2020,130363.1062,125325.2435
4/19/2020,125179.398,124813.8504
4/20/2020,124064.6396,124300.7385
4/21/2020,112986.0236,123786.6653
4/22/2020,121000.0534,123272.3902
