Date,Clean_Coal_Generation,Trend_Coal_Generation
11/17/2021,46169.2524,41379.35042
11/18/2021,39461.87202,41646.28562
11/19/2021,38437.7649,41905.51716
11/20/2021,32445.14778,42156.69949
11/21/2021,32793.35931,42399.49764
11/22/2021,34469.346,42633.58756
11/23/2021,40828.3676,42858.65638
11/24/2021,43082.23642,43074.40271
11/25/2021,43557.58211,43280.53694
11/26/2021,41559.31686,43476.78149
11/27/2021,32579.77588,43662.87107
11/28/2021,36828.0421,43838.55296
11/29/2021,33198.77966,44003.58724
11/30/2021,37521.97279,44157.74705
12/1/2021,43824.82403,44300.81878
12/2/2021,42410.01025,44432.60233
12/3/2021,48115.35185,44552.91131
12/4/2021,55645.3267,44661.57324
12/5/2021,46892.85546,44758.42976
12/6/2021,45981.06421,44843.33681
12/7/2021,52491.22633,44916.16479
12/8/2021,52691.72116,44976.79874
12/9/2021,53368.9823,45025.13853
12/10/2021,55210.12048,45061.09893
12/11/2021,52449.44288,45084.60983
12/12/2021,52916.41366,45095.61631
12/13/2021,53595.54696,45094.07876
12/14/2021,53533.67158,45079.973
12/15/2021,49761.92668,45053.29035
12/16/2021,51612.03637,45014.03772
12/17/2021,47462.41287,44962.23764
12/18/2021,50023.30706,44897.92836
12/19/2021,52640.20253,44821.16381
12/20/2021,49142.62871,44732.01368
12/21/2021,48082.73412,44630.5634
12/22/2021,49547.48543,44516.91408
12/23/2021,48968.7806,44391.18255
12/24/2021,48453.24293,44253.50124
12/25/2021,48930.06891,44104.01815
12/26/2021,49074.60912,43942.89676
12/27/2021,52047.13869,43770.31588
12/28/2021,53482.01984,43586.46955
12/29/2021,48846.31476,43391.56691
12/30/2021,52370.75252,43185.83198
12/31/2021,52665.73139,42969.50347
1/1/2022,40277.31989,42742.83462
1/2/2022,40238.87735,42506.0929
1/3/2022,40193.79157,42259.55974
1/4/2022,40119.41589,42003.53031
1/5/2022,39468.31641,41738.31316
1/6/2022,39724.95956,41464.22986
1/7/2022,40070.18484,41181.61473
1/8/2022,40178.31656,40890.81435
1/9/2022,40207.96667,40592.18724
1/10/2022,39983.50039,40286.10338
1/11/2022,30274.8737,39972.94376
1/12/2022,30291.99581,39653.09991
1/13/2022,30271.03024,39326.9734
1/14/2022,30260.42839,38994.97528
1/15/2022,30210.19437,38657.52557
1/16/2022,29997.87814,38315.05264
1/17/2022,30155.73537,37967.99267
1/18/2022,30225.08299,37616.78896
1/19/2022,30256.27398,37261.89135
1/20/2022,30194.51523,36903.75552
1/21/2022,30289.94908,36542.84234
1/22/2022,30301.34648,36179.61713
1/23/2022,30317.03351,35814.54898
1/24/2022,30218.23815,35448.11
1/25/2022,30213.16175,35080.77456
1/26/2022,30161.59661,34713.01856
1/27/2022,30317.87208,34345.3186
1/28/2022,30264.96139,33978.15123
1/29/2022,30303.65771,33611.99215
1/30/2022,30255.06095,33247.31538
1/31/2022,30125.13232,32884.59245
2/1/2022,30245.78465,32524.29162
2/2/2022,30260.61394,32166.87698
2/3/2022,30255.8601,31812.80769
2/4/2022,30212.69194,31462.53712
2/5/2022,30251.08825,31116.51203
2/6/2022,30195.72927,30775.17175
2/7/2022,30122.68981,30438.94738
